SMILES,Rotational Constant A,Rotational Constant B,Rotational Constant C,Dipole Moment,Isotropic Polarizability,Energy of HOMO,Energy of LUMO,HOMO-LUMO Gap,Electronic Spatial Extent,ZPVE,Internal Energy at 0K,Internal Energy at 298.15K,Enthalpy at 298.15K,Free Energy at 298.15K,Heat Capacity at 298.15K
CC(C)(C)CCO,4.10653,1.40201,1.38219,1.3499,70.67,-0.2609,0.0731,0.334,1017.7512,0.192336,-312.125621,-312.11614,-312.115196,-312.159175,34.638
CC(C)(O)CCO,4.34045,1.43807,1.39965,0.1324,63.64,-0.2573,0.0644,0.3217,969.783,0.168637,-348.056024,-348.046794,-348.04585,-348.0892,33.548
CCCC(C)(C)C,4.0274,1.38811,1.37066,0.0484,77.88,-0.2997,0.0761,0.3758,1075.9653,0.215798,-276.205821,-276.196156,-276.195211,-276.239455,35.867
CCCC(C)(C)O,4.25341,1.42238,1.38683,1.2727,70.88,-0.2594,0.0658,0.3252,1028.318,0.192,-312.136049,-312.126599,-312.125655,-312.169395,34.823
CCOC(C)(C)C,4.06598,1.55413,1.52831,0.9971,71.47,-0.244,0.0805,0.3245,977.9934,0.191545,-312.129019,-312.119517,-312.118573,-312.162768,34.56
COCC(C)(C)C,4.18284,1.52738,1.51528,0.9723,71.53,-0.2516,0.0782,0.3298,977.2869,0.191792,-312.122696,-312.11323,-312.112286,-312.156004,34.198
COCC(C)(C)O,4.31774,1.54329,1.53705,0.3832,64.38,-0.254,0.0761,0.3301,932.5617,0.168052,-348.050463,-348.041129,-348.040185,-348.083789,33.192
CC(C)C(C)(C)C,2.98694,2.14771,1.78753,0.0493,77.05,-0.2968,0.0736,0.3704,897.8057,0.215354,-276.202586,-276.192913,-276.191969,-276.235995,36.54
CC(C)C(C)(C)O,3.0668,2.21152,1.83806,1.3142,70.16,-0.26,0.0673,0.3273,851.0397,0.192033,-312.133805,-312.124516,-312.123572,-312.16637,35.288
CC(O)C(C)(C)C,3.05647,2.20295,1.84239,1.4315,69.98,-0.259,0.068,0.327,848.8521,0.192044,-312.131841,-312.122522,-312.121578,-312.164423,35.279
CC(O)C(C)(C)O,3.14334,2.26158,1.89442,1.6833,63.11,-0.2613,0.0648,0.3261,803.23,0.168225,-348.061993,-348.052811,-348.051867,-348.094469,34.301
CC(C)CC(C)C,4.07049,1.34846,1.28363,0.0889,77.99,-0.2993,0.0791,0.3784,1110.9484,0.216054,-276.20592,-276.196248,-276.195304,-276.240153,35.464
CC(C)CC(C)O,4.32241,1.38154,1.30878,1.3628,71.24,-0.2617,0.0712,0.3329,1057.3976,0.192564,-312.132858,-312.123425,-312.122481,-312.166682,34.288
CC(C)OC(C)C,4.06437,1.54353,1.36761,1.0249,71.72,-0.2419,0.0805,0.3224,1021.1314,0.191749,-312.131398,-312.121927,-312.120983,-312.165172,34.217
CC(O)CC(C)O,4.54798,1.37242,1.35519,0.5234,64.36,-0.2526,0.0745,0.3271,1009.7692,0.169012,-348.060054,-348.050872,-348.049928,-348.093433,33.159
CC(C)(CO)CO,4.34167,1.6366,1.63065,2.6199,63.41,-0.2604,0.0669,0.3272,871.3942,0.168887,-348.048844,-348.039503,-348.038559,-348.08189,33.492
CC(O)(CO)CO,4.62576,1.69979,1.66693,3.2052,56.14,-0.2573,0.0541,0.3115,822.4301,0.146175,-383.983835,-383.975187,-383.974242,-384.016109,31.604
CCC(C)(C)CC,4.08658,1.55195,1.53869,0.0668,77.42,-0.2984,0.0746,0.373,992.1533,0.216091,-276.202384,-276.192746,-276.191802,-276.235905,35.857
